family_id,location,province,core_region,is_focal_family,unweighted_degree,weighted_degree,betweenness,eigenvector,component_id,in_giant_component
"fu family, liao cheng, Shandong","liao cheng, Shandong",Shandong,Other,TRUE,2,3,1.1820806792427276e-4,2.1159221051796596e-8,3,TRUE
"fu family, Jiangning, Jiangsu","Jiangning, Jiangsu",Jiangsu,Jiangsu,TRUE,1,3,0,1.40755362311116e-8,3,TRUE
"Feng family, Huating, Jiangsu","Huating, Jiangsu",Jiangsu,Jiangsu,TRUE,3,3,4.084796169583942e-5,1.8383941810052593e-8,3,TRUE
"Feng family, gui an, Zhejiang","gui an, Zhejiang",Zhejiang,Zhejiang,FALSE,3,3,0,1.3564674301873542e-6,3,TRUE
"Feng family, ci xi, Zhejiang","ci xi, Zhejiang",Zhejiang,Zhejiang,TRUE,2,3,6.144993924835551e-4,1.2202654560002035e-9,3,TRUE
"Feng family, Qiantang, Zhejiang","Qiantang, Zhejiang",Zhejiang,Zhejiang,FALSE,3,3,6.161424389875219e-4,1.2069867767537416e-7,3,TRUE
"Liu family, unknown",unknown,qi ta,Other,FALSE,3,3,6.144993924835551e-4,9.855712590817054e-7,3,TRUE
"Liu family, hong dong, Shanxi","hong dong, Shanxi",Shanxi,Other,TRUE,2,3,5.564450826767308e-4,0.00475435840362806,3,TRUE
"Liu family, Xinghua, Jiangsu","Xinghua, Jiangsu",Jiangsu,Jiangsu,TRUE,3,3,6.15047074651544e-4,1.2056396626139205e-8,3,TRUE
"Liu family, Shanyin, Zhejiang","Shanyin, Zhejiang",Zhejiang,Zhejiang,FALSE,3,3,0.00122872494388311,7.196609990606966e-8,3,TRUE
liu married_out (fu jian),Fujian,Fujian,Other,TRUE,2,3,6.144993924835551e-4,9.640449726739158e-7,3,TRUE
"hua family, jin kui, Jiangsu","jin kui, Jiangsu",Jiangsu,Jiangsu,FALSE,2,3,9.606345226525452e-4,0.00981603310288646,3,TRUE
"Ye family, unknown",unknown,qi ta,Other,FALSE,3,3,2.067500184158129e-5,4.959136771877376e-7,3,TRUE
"Ye family, jia ying, Guangdong","jia ying, Guangdong",Guangdong,Other,TRUE,3,3,8.215232519833625e-7,0,62,FALSE
"Ye family, zhang zhou, Jiangsu","zhang zhou, Jiangsu",Jiangsu,Jiangsu,FALSE,3,3,8.48907360382808e-6,2.4738852579068857e-7,3,TRUE
"Ye family, Renhe, Zhejiang","Renhe, Zhejiang",Zhejiang,Zhejiang,FALSE,3,3,0,1.287392292636888e-5,3,TRUE
"lu family, Wujin, Jiangsu","Wujin, Jiangsu",Jiangsu,Jiangsu,FALSE,3,3,3.0871018202308136e-4,1.0848246935197249e-5,3,TRUE
"Wu family, zhen ze, Jiangsu","zhen ze, Jiangsu",Jiangsu,Jiangsu,FALSE,3,3,9.036755771816987e-6,8.846357505992031e-7,3,TRUE
"Zhou family, chang shu, Jiangsu","chang shu, Jiangsu",Jiangsu,Jiangsu,FALSE,3,3,6.153209157355385e-4,2.371410731978729e-5,3,TRUE
"tang family, chang shu, Jiangsu","chang shu, Jiangsu",Jiangsu,Jiangsu,TRUE,3,3,8.215232519833625e-7,0,11,FALSE
"Yao family, wu cheng, Zhejiang","wu cheng, Zhejiang",Zhejiang,Zhejiang,FALSE,2,3,2.7384108399445416e-6,1.433143654193362e-8,3,TRUE
"jiang family, da ming, Zhili","da ming, Zhili",Zhili,Other,TRUE,2,3,3.3394920193123676e-4,2.1694505030809693e-5,3,TRUE
"Sun family, gui an, Zhejiang","gui an, Zhejiang",Zhejiang,Zhejiang,TRUE,2,3,5.273494675023198e-4,5.763285675508345e-9,3,TRUE
"song family, piao yang, Jiangsu","piao yang, Jiangsu",Jiangsu,Jiangsu,TRUE,3,3,7.166421168134866e-4,5.705840935501051e-7,3,TRUE
"zuo family, Wujin, Jiangsu","Wujin, Jiangsu",Jiangsu,Jiangsu,FALSE,2,3,0,0.00475527714231752,3,TRUE
"married_out family, han cheng, Shaanxi","han cheng, Shaanxi",Shaanxi,Other,TRUE,3,3,0.00122872494388311,1.2038139028569034e-11,3,TRUE
"Zhuang family, unknown",unknown,qi ta,Other,FALSE,3,3,0,2.8537512860457324e-6,3,TRUE
"Zhang family, hai feng, Shandong","hai feng, Shandong",Shandong,Other,FALSE,2,3,6.144993924835551e-4,4.744935160782497e-5,3,TRUE
"Zhang family, Dantu, Jiangsu","Dantu, Jiangsu",Jiangsu,Jiangsu,FALSE,3,3,6.144993924835551e-4,1.0378579230416736e-6,3,TRUE
"Zhang family, Yizheng, Jiangsu","Yizheng, Jiangsu",Jiangsu,Jiangsu,FALSE,3,3,2.4782618101498103e-5,1.2986082942268688e-5,3,TRUE
"Zhang family, chang shu, Jiangsu","chang shu, Jiangsu",Jiangsu,Jiangsu,FALSE,3,3,3.6968546339251313e-6,2.3859405491434826e-5,3,TRUE
"Zhang family, Qingpu, Jiangsu","Qingpu, Jiangsu",Jiangsu,Jiangsu,FALSE,3,3,1.9648097776602087e-5,1.2563881099863691e-6,3,TRUE
"Zhang family, Shanyin, Zhejiang","Shanyin, Zhejiang",Zhejiang,Zhejiang,FALSE,3,3,6.144993924835551e-4,7.870204739414539e-5,3,TRUE
"Zhang family, gui an, Zhejiang","gui an, Zhejiang",Zhejiang,Zhejiang,FALSE,3,3,0,2.208465369312826e-6,3,TRUE
"Zhang family, Haining, Zhejiang","Haining, Zhejiang",Zhejiang,Zhejiang,FALSE,2,3,0,1.1612715465876645e-5,3,TRUE
"Zhang family, cheng de, Zhili","cheng de, Zhili",Zhili,Other,TRUE,3,3,0.00122872494388311,6.366905978335003e-8,3,TRUE
"peng family, zhang sha, Hunan","zhang sha, Hunan",Hunan,Other,FALSE,3,3,8.877015139486891e-6,2.7496195273800208e-5,3,TRUE
"Xu family, Wuxian, Jiangsu","Wuxian, Jiangsu",Jiangsu,Jiangsu,FALSE,3,3,6.144993924835551e-4,1.139925532062947e-5,3,TRUE
"Xu family, jiang yin, Jiangsu","jiang yin, Jiangsu",Jiangsu,Jiangsu,FALSE,3,3,6.144993924835551e-4,3.105344282069441e-6,3,TRUE
"Xu family, wu cheng, Zhejiang","wu cheng, Zhejiang",Zhejiang,Zhejiang,TRUE,3,3,1.871247407295437e-5,1.2445446279473945e-7,3,TRUE
"Xu family, Jiaxing, Zhejiang","Jiaxing, Zhejiang",Zhejiang,Zhejiang,FALSE,3,3,3.5599340919279044e-6,8.552400135756408e-7,3,TRUE
"Xu family, Xiushui, Zhejiang","Xiushui, Zhejiang",Zhejiang,Zhejiang,FALSE,3,3,1.738890883364784e-5,1.93576057858704e-6,3,TRUE
"cheng family, bao ying, Jiangsu","bao ying, Jiangsu",Jiangsu,Jiangsu,FALSE,2,3,0,2.2231281837050747e-6,3,TRUE
"Dai family, unknown",unknown,qi ta,Other,FALSE,3,3,0.00122872494388311,8.639184785438451e-9,3,TRUE
"Dai family, jing xi, Jiangsu","jing xi, Jiangsu",Jiangsu,Jiangsu,TRUE,2,3,0.00122845110279912,5.803977586858777e-9,3,TRUE
"Dai family, gui an, Zhejiang","gui an, Zhejiang",Zhejiang,Zhejiang,FALSE,2,3,0,3.612878645967716e-7,3,TRUE
"Dai family, zhang xing, Zhejiang","zhang xing, Zhejiang",Zhejiang,Zhejiang,TRUE,3,3,6.144993924835551e-4,1.200341935762584e-6,3,TRUE
"gai family, song jiang, Jiangsu","song jiang, Jiangsu",Jiangsu,Jiangsu,TRUE,2,3,2.9529196890735308e-5,3.166129718547416e-9,3,TRUE
"Fang family, unknown",unknown,qi ta,Other,FALSE,3,3,6.144993924835551e-4,3.5571160372265315e-5,3,TRUE
"Cao family, jia ding, Jiangsu","jia ding, Jiangsu",Jiangsu,Jiangsu,TRUE,2,3,0.00118354116502403,2.49047921395713e-6,3,TRUE
"Cao family, Xiushui, Zhejiang","Xiushui, Zhejiang",Zhejiang,Zhejiang,TRUE,1,3,0,2.0683872857158573e-7,3,TRUE
"Zhu family, tai hu, Anhui","tai hu, Anhui",Anhui,Anhui,TRUE,2,3,6.144993924835551e-4,7.48509756193873e-8,3,TRUE
"Zhu family, Wuyuan, Anhui","Wuyuan, Anhui",Anhui,Anhui,TRUE,3,3,0.00184240281311468,1.2393403809960992e-7,3,TRUE
"Zhu family, lin gui, Guangxi","lin gui, Guangxi",Guangxi,Other,FALSE,3,3,0,3.744115991450567e-8,3,TRUE
"Zhu family, shang yuan, Jiangsu","shang yuan, Jiangsu",Jiangsu,Jiangsu,FALSE,3,3,0.00122872494388311,7.869968710259003e-5,3,TRUE
"Zhu family, Wuxi, Jiangsu","Wuxi, Jiangsu",Jiangsu,Jiangsu,TRUE,2,3,0,9.73282361247442e-7,3,TRUE
"Zhu family, Renhe, Zhejiang","Renhe, Zhejiang",Zhejiang,Zhejiang,FALSE,3,3,0,1.2891044994621148e-5,3,TRUE
"Li family, jie ning, Yunnan","jie ning, Yunnan",Yunnan,Other,TRUE,3,3,6.144993924835551e-4,0.00490839569491657,3,TRUE
