family_id,location,province,core_region,is_focal_family,unweighted_degree,weighted_degree,betweenness,eigenvector,component_id,in_giant_component,confirmed_female_writer_count,literary_clue_count,uncertain_literary_clue_count,has_confirmed_female_writer,literary_norm,female_norm,female_binary,LCP_main_0604,LCP_equal_0505,LCP_literary_heavy_0802,LCP_female_heavy_0208,LCP_binary_female_0703,record_exposure_log,z_weighted_degree,z_unweighted_degree,z_betweenness,z_eigenvector,z_record_exposure,LCP_pca
曾氏（湖南湘乡）,湖南湘乡,湖南,Other,TRUE,16,23,0.00789890803433614,3.445023280314824e-7,3,TRUE,1,1,0,1,0.2242438242175754,0.227670248696953,1,0.22561439400932642,0.2259570364572642,0.22492910911345093,0.22698496380107747,0.45697067695230276,3.1780538303479458,1.4996709426856165,2.64595827588947,0.7077493262596671,-0.046430570447636405,2.9021352207499973,0.6665947890747511
沈氏（浙江归安）,浙江归安,浙江,浙江,TRUE,18,23,0.01492263539495373,2.0553646866836936e-4,3,TRUE,6,6,0,1,0.6295320036582305,0.6391511932854698,1,0.6333796795091262,0.6343415984718501,0.6314558415836784,0.6372273553600218,0.7406724025607613,3.1780538303479458,1.4996709426856165,3.041440625013627,1.4627995513357916,-0.039279534335705746,2.9021352207499973,0.3149236320665172
万氏（江苏宜兴）,江苏宜兴,江苏,江苏,TRUE,7,22,0.00866460573866852,9.659749445274812e-5,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3.1354942159291497,1.4214564183438754,0.8662877048307629,0.7900617786532634,-0.04307610859982909,2.8421888993685602,1
张氏（浙江海盐）,浙江海盐,浙江,浙江,TRUE,10,22,0.00510494548782461,1.5091611797920132e-4,3,TRUE,4,4,0,1,0.5206780355557714,0.5286339468194481,1,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128,0.66447462488904,3.1354942159291497,1.4214564183438754,1.4595112285169987,0.4073985379551083,-0.041183079134222415,2.8421888993685602,0.40937691950352345
朱氏（直隶大兴）,直隶大兴,直隶,Other,TRUE,17,22,0.01126301076040283,1.4430773256569451e-5,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3.1354942159291497,1.4214564183438754,2.843699450451549,1.0693901460241337,-0.04593965730961746,2.8421888993685602,1
汪氏（江苏新阳）,江苏新阳,江苏,江苏,TRUE,3,22,6.144993924835551e-4,2.666093565803099e-4,3,TRUE,2,2,0,1,0.35541805240316376,0.3608488067145302,1,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569,0.5487926366822147,3.1354942159291497,1.4214564183438754,0.07532300658244853,-0.07532411924685681,-0.037151115593454416,2.8421888993685602,0.5527740685707556
范氏（浙江鄞县）,浙江鄞县,浙江,浙江,TRUE,8,22,0.0196622005924278,2.6294527765760826e-6,3,TRUE,1,1,0,1,0.2242438242175754,0.227670248696953,1,0.22561439400932642,0.2259570364572642,0.22492910911345093,0.22698496380107747,0.45697067695230276,3.1354942159291497,1.4214564183438754,1.0640288793928414,1.9723024954821171,-0.04635093885453391,2.8421888993685602,0.6665947890747511
蒋氏（浙江海宁）,浙江海宁,浙江,浙江,TRUE,14,22,0.01429751683643444,7.710280266918747e-5,3,TRUE,2,2,0,1,0.35541805240316376,0.3608488067145302,1,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569,0.5487926366822147,3.1354942159291497,1.4214564183438754,2.250475926765313,1.3955993477863546,-0.043755507737239636,2.8421888993685602,0.5527740685707556
阮氏（江苏仪征）,江苏仪征,江苏,江苏,TRUE,12,22,0.01235293283083755,2.827456537587228e-4,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3.1354942159291497,1.4214564183438754,1.854993577641156,1.1865566962537841,-0.03658875808066425,2.8421888993685602,1
吴氏（安徽桐城）,安徽桐城,安徽,安徽,TRUE,7,21,0.00319860078159722,0.05870517170236054,3,TRUE,2,2,0,1,0.35541805240316376,0.3608488067145302,1,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569,0.5487926366822147,3.091042453358316,1.3432418940021345,0.8662877048307629,0.20246660856667803,1.9994601471050546,2.779577438211486,0.5527740685707556
